Team,Cap,Effective Cap,#,Active,Dead
,Space,Space,,Cap Spending,Money
Cardinals,"$155,488,251 ","$135,028,251 ",29,"$164,311,749 ","$7,200,000 "
Jets,"$152,714,860 ","$139,694,860 ",37,"$174,285,140 ",$0 
Dolphins,"$152,406,231 ","$132,876,231 ",30,"$117,907,269 ","$56,686,500 "
Falcons,"$148,276,376 ","$125,026,376 ",26,"$166,223,624 ","$12,500,000 "
Rams,"$105,881,416 ","$96,581,416 ",41,"$221,118,584 ",$0 
Chargers,"$103,726,610 ","$83,266,610 ",29,"$223,273,390 ",$0 
Giants,"$95,882,001 ","$70,772,001 ",24,"$231,117,999 ",$0 
Colts,"$92,070,022 ","$71,610,022 ",29,"$234,929,978 ",$0 
Raiders,"$86,845,190 ","$73,825,190 ",37,"$240,154,810 ",$0 
Commanders,"$86,015,952 ","$68,345,952 ",32,"$240,984,048 ",$0 
Browns,"$76,148,803 ","$58,478,803 ",32,"$224,943,197 ","$25,908,000 "
Lions,"$76,072,558 ","$51,892,558 ",25,"$250,927,442 ",$0 
Steelers,"$73,882,809 ","$50,632,809 ",26,"$253,117,191 ",$0 
Vikings,"$70,738,292 ","$54,928,292 ",34,"$243,995,040 ","$12,266,668 "
Saints,"$62,358,209 ","$59,568,209 ",48,"$264,641,791 ",$0 
Bengals,"$58,928,143 ","$37,538,143 ",28,"$268,071,857 ",$0 
Buccaneers,"$58,473,768 ","$48,243,768 ",40,"$268,526,232 ",$0 
Patriots,"$55,288,368 ","$40,408,368 ",35,"$271,711,632 ",$0 
Seahawks,"$47,513,512 ","$38,213,512 ",41,"$279,486,488 ",$0 
Packers,"$36,515,685 ","$25,355,685 ",39,"$282,484,315 ","$8,000,000 "
Bears,"$32,907,557 ","$16,167,557 ",33,"$294,092,443 ",$0 
Panthers,"$32,219,859 ","$11,759,859 ",29,"$294,780,141 ",$0 
Chiefs,"$26,619,469 ","$8,019,469 ",31,"$300,380,531 ",$0 
Titans,"$25,798,013 ","$21,148,013 ",46,"$301,201,987 ",$0 
Broncos,"$18,673,312 ","$4,723,312 ",36,"$306,160,020 ","$2,166,668 "
Eagles,"$15,780,845 ","$15,780,845 ",60,"$311,219,155 ",$0 
Jaguars,"$10,016,451 ","($5,793,549)",34,"$316,983,549 ",$0 
Texans,"$1,657,196 ","($13,222,804)",35,"$325,342,804 ",$0 
Cowboys,"($7,271,057)","($10,991,057)",47,"$334,271,057 ",$0 
49ers,"($15,616,389)","($25,846,389)",40,"$342,616,389 ",$0 
Bills,"($30,309,346)","($30,309,346)",51,"$357,309,346 ",$0 
Ravens,"($57,103,326)","($62,683,326)",45,"$384,103,326 ",$0 
